2020-03-12 14:34:23,572 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '21.0', 'app_memory_usage': '17.2', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:34:25,946 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '22.5', 'app_memory_usage': '17.2', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:34:28,236 INFO Catch app info {'app_pid': '27272', 'app_virt_usage': '1.6', 'app_cpu_usage': '7.8', 'app_memory_usage': '7.2', 'app_name': 'tv.danmaku.bili+'}
2020-03-12 14:34:30,364 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '23.0', 'app_memory_usage': '17.2', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:34:32,644 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '21.0', 'app_memory_usage': '17.2', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:34:34,646 INFO Catch app info {'app_pid': '27272', 'app_virt_usage': '1.6', 'app_cpu_usage': '5.1', 'app_memory_usage': '7.3', 'app_name': 'tv.danmaku.bili+'}
2020-03-12 14:34:36,660 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '76.7', 'app_memory_usage': '17.3', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:34:38,935 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '70.1', 'app_memory_usage': '17.4', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:34:41,026 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '85.0', 'app_memory_usage': '17.1', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:34:43,046 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '19.5', 'app_memory_usage': '17.1', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:34:45,309 INFO Catch app info {'app_pid': '27272', 'app_virt_usage': '1.6', 'app_cpu_usage': '17.2', 'app_memory_usage': '7.2', 'app_name': 'tv.danmaku.bili+'}
2020-03-12 14:34:47,237 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '60.9', 'app_memory_usage': '16.9', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:34:49,285 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '66.6', 'app_memory_usage': '17.0', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:34:51,308 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '74.3', 'app_memory_usage': '17.0', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:34:53,254 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '65.8', 'app_memory_usage': '17.0', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:34:55,789 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '23.6', 'app_memory_usage': '17.0', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:34:57,933 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '23.0', 'app_memory_usage': '17.1', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:35:00,200 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '21.0', 'app_memory_usage': '17.1', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:35:02,610 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '18.4', 'app_memory_usage': '17.1', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:35:04,662 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '78.9', 'app_memory_usage': '17.2', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:35:07,645 INFO Catch app info {'app_pid': '27272', 'app_virt_usage': '1.6', 'app_cpu_usage': '2.5', 'app_memory_usage': '7.3', 'app_name': 'tv.danmaku.bili+'}
2020-03-12 14:35:09,639 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '24.3', 'app_memory_usage': '17.1', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:35:11,703 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '2.7', 'app_memory_usage': '17.2', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:35:13,865 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '44.4', 'app_memory_usage': '17.2', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:35:16,009 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '8.3', 'app_memory_usage': '17.2', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:35:17,831 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '2.7', 'app_memory_usage': '17.2', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:35:20,245 INFO Catch app info {'app_pid': '27272', 'app_virt_usage': '1.6', 'app_cpu_usage': '2.7', 'app_memory_usage': '7.2', 'app_name': 'tv.danmaku.bili+'}
2020-03-12 14:35:22,498 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '2.7', 'app_memory_usage': '17.3', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:35:25,068 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '8.3', 'app_memory_usage': '17.3', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:35:27,208 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '2.7', 'app_memory_usage': '17.3', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:35:29,057 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '83.7', 'app_memory_usage': '17.2', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:35:31,394 INFO Catch app info {'app_pid': '27272', 'app_virt_usage': '1.6', 'app_cpu_usage': '2.5', 'app_memory_usage': '7.3', 'app_name': 'tv.danmaku.bili+'}
2020-03-12 14:35:34,127 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '64.8', 'app_memory_usage': '17.3', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:35:36,416 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '83.3', 'app_memory_usage': '17.0', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:35:38,671 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '78.0', 'app_memory_usage': '17.2', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:35:41,120 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '90.0', 'app_memory_usage': '17.1', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:35:43,577 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '36.3', 'app_memory_usage': '17.1', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:35:46,074 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '20.5', 'app_memory_usage': '17.0', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:35:48,457 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '21.6', 'app_memory_usage': '17.0', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:35:52,617 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '25.6', 'app_memory_usage': '17.0', 'app_name': 'tv.danmaku.bili'}
2020-03-12 14:35:55,968 INFO Catch app info {'app_pid': '27162', 'app_virt_usage': '1.7', 'app_cpu_usage': '74.4', 'app_memory_usage': '17.2', 'app_name': 'tv.danmaku.bili'}
